
Thunder Bay (63203) 
Hourly Fine Particulate Matter [PM2.5] Concentrations 
From,January 1 2017  
To,December 31 2017 EST 
Station,Thunder Bay (63203)
Address,421 James St. S.
Latitude,48.379389
Longitude,-89.290167
Air Intake Height,15 metres 
Elevation,192 metres 
Pollutant,Fine Particulate Matter [PM2.5]
Method,SHARP 5030 operated 35% RH
Unit, micrograms per cubic metre (micrograms/m3)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
63203,Fine Particulate Matter,2017-01-01,8,13,12,8,8,8,7,8,7,6,7,5,5,4,4,4,4,4,5,5,6,7,7,8,
63203,Fine Particulate Matter,2017-01-02,8,8,8,10,8,10,9,7,7,7,7,7,3,3,3,3,3,6,4,5,4,4,3,3,
63203,Fine Particulate Matter,2017-01-03,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,2,2,2,
63203,Fine Particulate Matter,2017-01-04,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,
63203,Fine Particulate Matter,2017-01-05,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,5,3,4,5,4,4,
63203,Fine Particulate Matter,2017-01-06,4,4,4,4,4,4,4,6,6,4,4,5,4,4,5,4,4,4,5,7,6,6,6,7,
63203,Fine Particulate Matter,2017-01-07,8,8,9,9,7,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,4,4,4,4,
63203,Fine Particulate Matter,2017-01-08,4,3,3,4,4,4,4,4,5,5,4,5,4,4,5,5,6,8,10,14,12,8,6,4,
63203,Fine Particulate Matter,2017-01-09,3,3,3,4,3,3,3,3,4,4,4,3,3,3,4,5,6,4,4,4,3,3,3,5,
63203,Fine Particulate Matter,2017-01-10,6,7,10,12,12,13,16,16,17,17,17,17,18,20,19,14,12,8,9,10,10,10,10,7,
63203,Fine Particulate Matter,2017-01-11,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,6,6,6,9,
63203,Fine Particulate Matter,2017-01-12,7,7,8,15,11,10,10,28,10,10,11,10,7,4,3,4,4,6,5,5,5,5,5,5,
63203,Fine Particulate Matter,2017-01-13,5,4,4,4,4,4,4,12,4,4,4,4,3,3,3,3,3,5,11,9,9,9,11,12,
63203,Fine Particulate Matter,2017-01-14,12,11,10,8,4,4,5,6,6,6,7,8,8,8,7,7,6,6,7,7,7,8,9,12,
63203,Fine Particulate Matter,2017-01-15,12,15,12,12,13,13,11,12,13,12,12,11,10,10,11,13,11,7,5,11,24,15,11,9,
63203,Fine Particulate Matter,2017-01-16,9,8,7,7,7,9,10,10,13,15,15,18,17,16,14,14,21,27,19,20,24,23,17,18,
63203,Fine Particulate Matter,2017-01-17,18,13,18,18,18,22,25,26,27,30,32,31,25,21,18,17,17,16,16,20,27,23,24,21,
63203,Fine Particulate Matter,2017-01-18,22,20,20,24,20,21,19,18,18,14,12,11,7,6,5,5,5,8,10,13,17,12,10,14,
63203,Fine Particulate Matter,2017-01-19,15,14,15,14,14,16,16,23,27,28,28,32,33,31,24,19,15,14,14,15,15,16,18,15,
63203,Fine Particulate Matter,2017-01-20,11,9,10,9,11,10,11,12,12,11,7,5,5,4,6,8,9,8,7,7,7,6,5,5,
63203,Fine Particulate Matter,2017-01-21,5,4,4,3,3,2,3,4,4,3,3,5,5,4,5,5,5,6,8,9,9,11,9,7,
63203,Fine Particulate Matter,2017-01-22,6,4,3,2,2,3,3,3,2,2,2,2,2,1,2,1,1,2,3,4,4,3,3,3,
63203,Fine Particulate Matter,2017-01-23,3,3,3,3,3,3,3,3,3,3,5,6,7,8,4,4,4,4,4,7,5,6,6,7,
63203,Fine Particulate Matter,2017-01-24,8,8,7,9,9,8,7,6,6,5,9999,8,6,5,4,3,4,4,5,6,6,6,6,6,
63203,Fine Particulate Matter,2017-01-25,5,4,6,6,6,5,5,4,4,4,3,3,3,3,3,3,2,2,3,4,3,3,3,4,
63203,Fine Particulate Matter,2017-01-26,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,
63203,Fine Particulate Matter,2017-01-27,2,2,2,3,2,2,2,2,2,2,2,3,3,4,5,4,4,5,6,7,7,7,7,6,
63203,Fine Particulate Matter,2017-01-28,5,4,5,6,6,6,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,
63203,Fine Particulate Matter,2017-01-29,2,2,2,2,3,3,2,2,2,2,2,3,3,3,2,3,3,3,2,3,3,4,4,5,
63203,Fine Particulate Matter,2017-01-30,7,8,13,14,12,10,9,9,9,10,9,9,12,9,4,4,4,4,3,3,3,3,3,3,
63203,Fine Particulate Matter,2017-01-31,5,3,4,4,4,5,5,5,5,5,5,5,6,4,5,3,2,3,2,2,2,2,2,2,
63203,Fine Particulate Matter,2017-02-01,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,3,3,3,3,
63203,Fine Particulate Matter,2017-02-02,3,4,8,7,5,5,4,7,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,4,
63203,Fine Particulate Matter,2017-02-03,4,4,5,6,6,5,6,6,6,5,5,5,4,4,4,3,3,4,5,5,6,6,6,6,
63203,Fine Particulate Matter,2017-02-04,6,5,5,6,6,6,6,7,7,8,8,9,9,10,8,6,5,5,7,7,12,11,10,11,
63203,Fine Particulate Matter,2017-02-05,7,5,4,4,4,5,6,5,4,4,3,3,3,3,3,2,2,3,2,2,2,2,2,2,
63203,Fine Particulate Matter,2017-02-06,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,
63203,Fine Particulate Matter,2017-02-07,2,3,3,4,3,3,3,3,3,3,3,3,2,3,2,2,3,3,2,2,2,2,2,2,
63203,Fine Particulate Matter,2017-02-08,2,2,2,4,3,4,4,4,4,6,4,4,4,3,3,3,3,3,3,4,4,5,5,5,
63203,Fine Particulate Matter,2017-02-09,4,4,6,6,6,6,6,7,7,6,6,6,5,4,4,4,4,4,5,5,7,10,13,14,
63203,Fine Particulate Matter,2017-02-10,14,13,11,9,7,6,5,5,3,3,4,5,5,6,7,8,8,9,10,12,16,14,11,10,
63203,Fine Particulate Matter,2017-02-11,7,6,6,6,6,5,6,6,7,7,8,5,6,6,6,5,6,4,7,11,7,9,10,8,
63203,Fine Particulate Matter,2017-02-12,7,7,7,8,8,8,9,7,7,7,7,7,7,7,6,6,5,5,4,5,5,5,5,4,
