
Toronto Downtown (31103) 
Hourly Fine Particulate Matter [PM2.5] Concentrations 
From,January 1 2017  
To,December 31 2017 EST 
Station,Toronto Downtown (31103)
Address,Bay St./wellesley St. W.
Latitude,43.662972
Longitude,-79.388111
Air Intake Height,10 metres 
Elevation,105 metres 
Pollutant,Fine Particulate Matter [PM2.5]
Method,SHARP 5030 operated 35% RH
Unit, micrograms per cubic metre (micrograms/m3)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Fine Particulate Matter,2017-01-01,7,7,5,5,4,4,4,3,4,4,4,4,4,5,6,6,7,9,10,12,13,14,13,12,
31103,Fine Particulate Matter,2017-01-02,12,14,14,15,15,15,11,7,11,16,11,8,8,8,8,8,8,9,10,10,10,9,8,7,
31103,Fine Particulate Matter,2017-01-03,7,8,7,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,6,5,
31103,Fine Particulate Matter,2017-01-04,6,6,5,5,2,1,2,2,2,7,6,5,3,3,3,3,2,3,3,3,3,3,2,2,
31103,Fine Particulate Matter,2017-01-05,3,4,3,3,3,3,3,3,4,5,5,5,5,4,4,5,5,6,6,6,5,5,5,5,
31103,Fine Particulate Matter,2017-01-06,5,5,6,5,5,6,6,6,7,8,7,5,5,4,5,4,4,4,4,4,4,5,5,6,
31103,Fine Particulate Matter,2017-01-07,6,5,5,5,5,6,7,8,9,9,8,7,6,6,5,6,7,9,9,10,11,10,10,8,
31103,Fine Particulate Matter,2017-01-08,8,8,7,5,4,4,4,4,4,4,4,3,3,3,4,4,4,6,6,5,6,5,6,5,
31103,Fine Particulate Matter,2017-01-09,4,4,4,3,3,3,4,5,7,11,10,8,7,8,8,8,8,8,9,10,11,13,11,9,
31103,Fine Particulate Matter,2017-01-10,9,7,7,7,7,7,7,7,7,7,8,7,7,8,8,8,7,6,5,3,2,2,2,2,
31103,Fine Particulate Matter,2017-01-11,1,1,8,13,13,11,9,8,8,11,12,12,12,11,10,8,10,13,10,9,8,7,6,2,
31103,Fine Particulate Matter,2017-01-12,1,1,1,1,1,2,2,12,16,15,16,17,15,11,12,10,8,7,6,6,7,6,4,4,
